"query","search interest","increase percent"
"manga",100,"-2%"
"manhwa",12,"130%"
"manga online",8,"50%"
"manga read",5,"20%"
"read manga",4,"20%"
"manga anime",4,"-2%"
"free manga",3,"60%"
"manga indo",3,"-20%"
"one piece",2,"-7%"
"manga one piece",2,"-7%"
"one piece manga",2,"-6%"
"mangga",1,"-10%"
"manga buddy",1,"-40%"
"read manga online",1,"10%"
"blue lock",1,"-40%"
"one punch man",1,"-3%"
"blue lock manga",1,"-40%"
"one punch man manga",1,"-4%"
"demon slayer",1,"-3%"
"manga demon slayer",1,"-2%"
"demon slayer manga",1,"-2%"
"kun manga",1,"-1%"
"manhwa read",1,"100%"
"jinx",1,"-20%"
"jujutsu kaisen",1,"-30%"
"solo leveling",1,"-70%"
"yuri manga",1,"-9%"
"manhua",1,"3%"
"jujutsu kaisen manga",1,"-30%"
"jjk manga",1,"-20%"
"manga fire",1,"80%"
"manga website",0,"70%"
"solo leveling manga",0,"-70%"
"boruto manga",0,"-30%"
"chainsaw man",0,"60%"
"chainsaw man manga",0,"60%"
"manga go",0,"9%"
"jinx manga",0,"-40%"
"webtoon",0,"-8%"
"manga reader",0,"-20%"
"kaiju no 8",0,"-60%"
"komiku",0,"-10%"
"kaiju no 8 manga",0,"-60%"
"fragrant flower blooms with dignity manga",0,"170%"
"black clover manga",0,"-10%"
"coffee manga",0,"-60%"
"comix",0,"2,850%"
"sakamoto days manga",0,"-4%"
"manga plus",0,"-30%"
"spy x family manga",0,"20%"