"Time","日本动画","日本漫画","日本流行音乐","日本","日本料理"
"2025-05-04",36,16,0,69,2
"2025-05-11",36,18,0,70,2
"2025-05-18",33,16,0,68,2
"2025-05-25",37,17,0,72,2
"2025-06-01",41,19,0,74,2
"2025-06-08",37,17,0,79,2
"2025-06-15",33,14,0,70,2
"2025-06-22",35,15,0,70,2
"2025-06-29",35,15,0,72,2
"2025-07-06",38,15,0,75,2
"2025-07-13",39,17,0,100,2
"2025-07-20",39,18,0,80,2
"2025-07-27",38,18,0,75,2
"2025-08-03",37,16,0,73,2
"2025-08-10",36,15,0,72,2
"2025-08-17",37,17,0,69,2
"2025-08-24",38,18,0,71,2
"2025-08-31",40,18,0,76,2
"2025-09-07",37,17,0,77,2
"2025-09-14",43,22,0,76,2
"2025-09-21",35,17,0,68,2
"2025-09-28",35,17,0,69,2
"2025-10-05",35,16,0,73,2
"2025-10-12",35,17,0,74,2
"2025-10-19",40,20,0,73,2
"2025-10-26",35,16,0,77,2
"2025-11-02",35,18,0,80,2
"2025-11-09",35,20,0,93,2
"2025-11-16",37,18,0,94,2
"2025-11-23",37,20,0,91,2
"2025-11-30",37,18,0,86,2
"2025-12-07",39,20,0,92,2
"2025-12-14",38,17,0,83,2
"2025-12-21",42,20,0,83,2
"2025-12-28",41,22,0,84,2
"2026-01-04",40,22,0,74,2
"2026-01-11",37,20,0,76,2
"2026-01-18",34,19,0,81,2
"2026-01-25",35,19,0,85,2
"2026-02-01",37,19,0,83,2
"2026-02-08",35,17,0,82,3
"2026-02-15",38,24,0,81,3
"2026-02-22",34,19,0,77,2
"2026-03-01",32,18,0,76,2
"2026-03-08",34,20,0,78,2
"2026-03-15",38,18,0,85,2
"2026-03-22",48,22,0,86,2
"2026-03-29",34,16,0,78,2
"2026-04-05",34,15,0,72,2
"2026-04-12",35,16,0,74,2
"2026-04-19",32,17,0,71,2
"2026-04-26",35,17,0,69,2
"2026-05-03",32,16,0,66,2